Date,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Yunnan,Zhejiang,China,Quarantined ,CumlativeQ
01/10/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,121,121
01/11/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,42,163
01/12/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,537,700
01/13/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,700
01/14/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,700
01/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,700
01/16/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,700
01/17/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,700
01/18/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,700
01/19/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,700
01/20/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,700
01/21/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0,700
1/22/20,1,14,6,1,0,26,2,1,4,1,0,5,444,4,0,1,2,0,2,1,1,0,0,2,9,1,5,4,0,1,10,538,0,700
1/23/20,9,22,9,5,2,32,5,3,5,1,2,5,444,9,0,5,7,1,3,2,1,0,3,6,16,1,8,4,2,2,27,616,0,700
1/24/20,15,36,27,10,2,53,23,3,8,2,4,9,549,24,1,9,18,3,4,2,2,0,5,15,20,1,15,8,2,5,43,877,0,700
1/25/20,39,41,57,18,4,78,23,4,19,8,9,32,761,43,7,18,18,4,17,2,3,1,15,27,33,6,28,10,3,11,62,1344,8970,9507
1/26/20,60,68,75,35,7,111,36,5,22,13,15,83,1058,69,7,33,36,4,21,5,4,1,22,46,40,9,44,14,4,16,104,1971,14000,15197
1/27/20,70,80,110,59,14,151,46,7,33,18,21,128,1423,100,11,47,72,6,27,6,7,6,35,75,53,13,69,23,5,26,128,2749,21000,23431
1/28/20,106,91,132,80,19,207,51,9,40,33,33,168,3554,143,15,70,109,8,34,7,11,6,46,95,66,27,90,24,10,44,173,5336,30000,32799
1/29/20,152,111,147,84,24,277,58,9,43,48,38,206,3554,221,16,99,109,9,39,7,12,6,56,130,96,27,108,27,13,55,296,5791,44000,47833
1/30/20,200,114,182,101,26,354,78,12,46,65,44,278,4903,277,19,129,162,14,41,7,17,8,63,158,112,35,142,31,14,70,428,7713,60000,65537
1/31/20,237,139,211,120,29,436,87,29,52,82,59,352,5806,332,20,168,240,14,48,7,21,8,87,184,135,39,177,32,17,83,538,9264,81947,88693
2/1/20,297,168,247,144,40,535,100,29,62,96,80,422,7153,389,23,202,286,17,64,7,26,9,101,206,169,47,207,41,18,93,599,11292,102427,102427
2/2/20,340,191,300,159,51,632,111,38,64,104,95,493,11177,463,27,236,333,23,70,8,28,11,116,230,182,66,231,48,21,105,661,15969,118478,136987
2/3/20,408,212,337,179,55,725,127,46,72,113,121,566,13522,521,34,271,391,31,74,8,31,13,128,259,203,74,254,60,24,117,724,18992,152700,189583
2/4/20,480,228,366,194,57,813,139,58,80,126,155,675,16678,593,35,308,476,42,81,10,34,15,142,275,219,81,282,67,29,122,829,22878,171329,221015
2/5/20,530,253,389,205,62,895,150,64,99,135,190,764,19665,661,42,341,548,54,89,10,34,17,165,307,243,81,301,69,32,128,895,26545,185555,252154
2/6/20,591,274,411,215,62,970,168,71,106,157,227,851,22112,711,46,373,600,59,94,10,40,18,173,347,257,96,321,79,36,133,954,29633,186000,280000
2/7/20,665,297,426,224,67,1034,172,81,117,172,277,914,24953,772,50,408,661,65,99,10,43,18,184,386,277,104,344,81,39,138,1006,33104,186045,314028
2/8/20,733,315,428,239,79,1095,183,89,124,195,295,981,27100,803,52,439,698,69,105,10,45,18,195,416,286,115,364,88,42,138,1048,35766,189660,345498
2/9/20,779,326,468,250,83,1131,195,99,131,206,307,1033,29631,838,54,468,740,78,107,10,45,18,208,444,293,119,386,91,45,141,1075,38754,188183,371905
2/10/20,830,337,486,261,83,1159,210,109,138,218,331,1073,31728,879,58,492,771,80,108,10,49,18,213,466,299,119,405,95,49,149,1092,41262,187518,399487
2/11/20,860,342,505,267,86,1177,215,127,144,239,360,1105,33366,912,58,515,804,81,111,10,53,18,219,487,303,124,417,106,55,153,1117,43269,187728,428438
2/12/20,889,352,518,272,87,1219,222,133,157,251,378,1135,33366,946,60,543,844,83,116,10,58,18,225,497,311,126,436,112,59,154,1131,43628,185037,451462
2/13/20,910,366,529,279,90,1241,222,135,157,265,395,1169,48206,968,61,570,872,84,117,10,64,18,229,509,315,126,451,119,63,156,1145,58750,181386,471531
2/14/20,934,372,537,281,90,1261,226,140,159,283,419,1184,54406,988,65,593,900,86,119,10,67,18,230,523,318,127,463,120,65,162,1155,65203,177984,493067
2/15/20,950,375,544,285,90,1294,235,143,162,291,425,1212,56249,1001,68,604,913,88,119,10,70,18,232,532,326,128,470,122,70,168,1162,67251,169039,513183
2/16/20,962,380,551,287,90,1316,237,144,162,300,445,1231,58182,1004,70,617,925,89,121,10,70,18,236,537,328,129,481,124,71,171,1167,69346,158764,529418
2/17/20,973,381,553,290,91,1322,238,146,163,301,457,1246,59989,1006,72,626,930,89,121,10,70,18,240,541,333,130,495,125,75,171,1171,71263,150539,546016
2/18/20,982,387,555,292,91,1328,242,146,163,306,464,1257,61682,1007,73,629,933,89,121,10,70,18,240,543,333,131,508,128,76,172,1172,73039,141552,560901
2/19/20,986,393,560,293,91,1331,244,146,168,306,470,1262,62031,1008,75,631,934,90,121,10,71,18,242,544,333,131,514,130,76,172,1174,73445,135881,574418
2/20/20,987,395,567,293,91,1332,245,146,168,307,476,1265,62442,1010,75,631,934,91,121,10,71,18,245,546,334,132,520,131,76,174,1175,73902,126363,589163
2/21/20,988,396,572,293,91,1333,246,146,168,308,479,1267,62662,1011,75,631,934,91,121,10,71,18,245,749,334,132,525,132,76,174,1203,74347,120302,606037
2/22/20,989,399,573,293,91,1339,249,146,168,309,479,1270,64084,1013,75,631,934,91,121,10,71,18,245,750,335,132,526,135,76,174,1205,75796,113564,618915
2/23/20,989,399,575,293,91,1342,249,146,168,311,480,1271,64084,1016,75,631,934,91,121,10,71,18,245,754,335,132,526,135,76,174,1205,75817,106089,628517
2/24/20,989,399,576,293,91,1345,251,146,168,311,480,1271,64287,1016,75,631,934,93,121,10,71,18,245,755,335,133,527,135,76,174,1205,76036,97481,635531
2/25/20,989,400,576,294,91,1347,252,146,168,311,480,1271,64786,1016,75,631,934,93,121,10,71,18,245,756,336,133,529,135,76,174,1205,76549,87902,641742
2/26/20,989,400,576,294,91,1347,252,146,168,312,480,1271,65187,1016,75,631,934,93,121,10,71,18,245,756,337,133,531,135,76,174,1205,76961,79108,647406
2/27/20,989,410,576,296,91,1347,252,146,168,317,480,1272,65596,1017,75,631,934,93,121,10,72,18,245,756,337,133,534,136,76,174,1205,77395,71572,652174
2/28/20,990,410,576,296,91,1348,252,146,168,318,480,1272,65914,1017,75,631,935,93,121,10,72,18,245,756,337,133,538,136,76,174,1205,77723,65225,656054
2/29/20,990,411,576,296,91,1349,252,146,168,318,480,1272,66337,1018,75,631,935,93,121,10,73,18,245,756,337,133,538,136,76,174,1205,78151,58233,658587
3/1/20,990,413,576,296,91,1349,252,146,168,318,480,1272,66907,1018,75,631,935,93,122,10,73,18,245,758,337,133,538,136,76,174,1205,78727,51856,660716
3/2/20,990,414,576,296,91,1350,252,146,168,318,480,1272,67103,1018,75,631,935,93,122,10,74,18,245,758,337,133,538,136,76,174,1206,78930,46219,663240
3/3/20,990,414,576,296,91,1350,252,146,168,318,480,1272,67217,1018,75,631,935,93,125,10,74,18,245,758,338,133,538,136,76,174,1213,79048,40651,664899
3/4/20,990,418,576,296,91,1350,252,146,168,318,480,1272,67332,1018,75,631,935,93,125,10,75,18,245,758,338,133,538,136,76,174,1213,79173,36432,666397
3/5/20,990,418,576,296,102,1351,252,146,168,318,481,1272,67466,1018,75,631,935,93,125,10,75,18,245,758,339,133,539,136,76,174,1215,79322,32870,669025
3/6/20,990,422,576,296,119,1352,252,146,168,318,481,1272,67592,1018,75,631,935,93,125,10,75,18,245,758,342,133,539,136,76,174,1215,79475,29896,670854
3/7/20,990,426,576,296,120,1352,252,146,168,318,481,1272,67666,1018,75,631,935,93,125,10,75,18,245,758,342,133,539,136,76,174,1215,79555,26730,672458
3/8/20,990,428,576,296,124,1352,252,146,168,318,481,1272,67707,1018,75,631,935,93,125,10,75,18,245,758,342,133,539,136,76,174,1215,79608,23074,674038
3/9/20,990,428,576,296,124,1352,252,146,168,318,481,1272,67743,1018,75,631,935,93,125,10,75,18,245,758,342,133,539,136,76,174,1215,79645,20146,674760
3/10/20,990,429,576,296,125,1353,252,146,168,318,481,1272,67760,1018,75,631,935,93,125,10,75,18,245,758,344,133,539,136,76,174,1215,79672,16982,675338
3/11/20,990,435,576,296,127,1356,252,146,168,318,482,1273,67773,1018,75,631,935,93,125,10,75,18,245,760,344,133,539,136,76,174,1215,79706,14607,675886
3/12/20,990,435,576,296,127,1356,252,146,168,318,482,1273,67781,1018,75,631,935,93,125,10,75,18,245,760,344,133,539,136,76,174,1215,79717,13701,677243
3/13/20,990,436,576,296,127,1356,252,146,168,318,482,1273,67786,1018,75,631,935,93,125,10,75,18,245,760,346,133,539,136,76,174,1215,79730,12161,678088
3/14/20,990,437,576,296,129,1356,252,146,168,318,482,1273,67790,1018,75,631,935,93,125,10,75,18,245,760,353,133,539,136,76,174,1227,79750,10879,678935
3/15/20,990,442,576,296,133,1360,252,146,168,318,482,1273,67794,1018,75,631,935,93,125,10,75,18,245,760,353,133,539,136,76,174,1231,79772,10189,679759
3/16/20,990,452,576,296,133,1361,252,146,168,318,482,1273,67798,1018,75,631,935,93,125,11,75,18,245,760,355,133,539,136,76,176,1231,79802,9582,680462
3/17/20,990,456,576,296,133,1364,253,147,168,318,482,1273,67799,1018,75,631,935,93,125,12,75,18,246,761,358,133,540,136,76,176,1232,79826,9351,681404
3/18/20,990,469,576,296,133,1370,253,146,168,318,482,1273,67800,1018,75,631,935,93,125,15,75,18,246,761,361,133,540,136,76,176,1232,79870,9222,682327
3/19/20,990,480,576,296,134,1378,253,146,168,318,483,1273,67800,1018,75,631,935,93,125,17,75,18,246,761,363,133,540,137,76,176,1233,79923,9144,683281
